Unnamed: 0,ID,Fullname,Birthday,Sex,Hometown,Jobtype,Salary,Marital Status
0,123456789012,Nguyễn Văn A,12/09/1985,Male,Trà Vinh,Software Developer,15.0,Married
1,123456789012,Nguyễn Văn Anh,15/08/1990,Male,Quảng Nam,Software Engineer,500.0,Married
2,123456789012,Nguyễn Văn Anh,20/07/1985,Female,Hưng Yên,Architect,700.0,Married
3,123456789012,Trần Thị Minh Thu,12/05/1987,Female,Cần Thơ,Architect,200.0,Married
4,123456789012,Nguyễn Văn A,20/03/1990,Male,Bà Rịa - Vũng Tàu,Architect,500.0,Single
5,123456789012,Nguyễn Văn Anh,18/02/1990,Male,Đắk Nông,Software Engineer,500.0,Single
6,123456789012,Nguyễn Văn An,15/02/1985,Male,Hà Nội,Software Engineer,500.0,Married
7,123456789012,Nguyễn Văn An,12/04/1985,Male,Hà Tĩnh,Software Engineer,20.0,Single
8,123456789012,Nguyễn Thị Linh,16/02/1987,Female,Bắc Ninh,Accountant,30.0,Married
9,123456789123,Nguyễn Văn A,20/12/1990,Male,Tiền Giang,Engineer,500.0,Single
10,518467012985,Phạm Văn Đức,12/05/1980,Male,Đắk Nông,Engineer,800.0,Married
11,123456789012,Nguyễn Thị Mai,15/02/1980,Female,Nghệ An,Teacher,20.0,Married
12,238465789101,Nguyễn Văn Phương,20/11/1990,Male,Bà Rịa - Vũng Tàu,Software Engineer,500.0,Single
13,124578369123,Nguyễn Văn Anh,25/07/1995,Male,Vĩnh Long,Software Engineer,15.0,Single
14,673821093810,Nguyễn Văn Anh,16/05/1990,Male,Lai Châu,Software Engineer,25.0,Single
15,102345678912,Nguyễn Văn An,15/07/1980,Male,Thái Nguyên,Engineer,200.0,Married
16,123456789012,Nguyễn Văn Anh,25/11/1992,Male,Kon Tum,Software Engineer,20.0,Single
17,123456789012,Nguyễn Thị Minh Khai,12/05/1980,Female,Cao Bằng,Teacher,15.0,Married
18,123456789012,Nguyễn Thị Minh,12/11/1985,Female,Phú Thọ,Teacher,500.0,Married
19,543897065411,Nguyễn Văn A,12/06/1989,Male,Bắc Kạn,Engineer,500.0,Single
20,123456789012,Nguyễn Văn An,01/03/1986,Male,Bạc Liêu,Software Engineer,500.0,Married
21,123456789123,Nguyễn Văn Anh,12/05/1980,Female,An Giang,Teacher,15.0,Married
22,123456789012,Nguyễn Văn Minh,20/04/1980,Male,Hải Dương,Engineer,500.0,Married
23,123456789012,Nguyễn Thị Minh Khai,20/11/1985,Female,Tuyên Quang,Teacher,45.0,Single
24,123456789012,Nguyễn Thị Minh Khai,10/04/1985,Female,Đà Nẵng,Marketing Manager,500.0,Married
25,123456789123,Nguyễn Văn A,12/12/1980,Male,Thái Nguyên,Engineer,900.0,Married
26,435678912345,Nguyễn Văn A,20/11/1990,Male,Nghệ An,Engineer,500.0,Single
27,409182738472,Nguyễn Văn Anh,15/03/1990,Male,Cần Thơ,Engineer,300.0,Single
28,356289540781,Nguyễn Văn Anh,12/04/1990,Male,Đắk Lắk,Mechanical Engineer,500.0,Married
29,123456789012,Nguyễn Thị Minh Khai,18/08/1988,Female,Gia Lai,Doctor,500.0,Married
30,123456789012,Nguyễn Thị Minh Khai,07/11/1976,Female,Bắc Kạn,Teacher,20.0,Married
31,123456789123,Nguyễn Văn Anh,24/08/1985,Male,Tiền Giang,Engineer,500.0,Married
32,123456789012,Nguyễn Thị Anh,20/01/1985,Female,Bắc Ninh,Teacher,18.0,Single
33,123456789012,Nguyễn Minh Đức,22/12/1990,Male,Lâm Đồng,Teacher,20.0,Single
34,123456789012,Nguyễn Văn An,15/04/1985,Male,Cần Thơ,Software Developer,15.0,Married
35,123456789012,Nguyễn Văn Anh,23/02/1991,Female,Cần Thơ,Nurse,30.0,Single
36,123456789012,Nguyễn Văn Anh,25/11/1990,Female,Bình Phước,Doctor,300.0,Single
37,123456789012,Nguyễn Văn Hà,20/03/1980,Male,Cần Thơ,Software Engineer,500.0,Married
38,123456789012,Nguyễn Văn Anh,15/08/1985,Female,Gia Lai,Doctor,800.0,Married
39,123456789012,Nguyễn Văn Anh,20/05/1990,Male,Bắc Ninh,Software Engineer,20.0,Single
40,123456789012,Nguyễn Văn A,15/07/1985,Male,Quảng Trị,Engineer,500.0,Married
41,345823789123,Nguyễn Thanh Phong,17/08/1990,Male,Cà Mau,Software Developer,29.0,Single
42,123456789012,Nguyễn Văn Anh,25/04/1992,Male,Thái Bình,Engineer,450.0,Single
43,123456789012,Nguyễn Văn A,25/06/1990,Male,Trà Vinh,Software Developer,15.0,Single
44,123456789012,Nguyễn Văn Anh,12/03/1989,Female,Đà Nẵng,Software Engineer,30.0,Single
45,123456789012,Nguyễn Thị Minh Khai,15/10/1978,Female,Quảng Bình,Teacher,25.0,Married
46,324567891234,Nguyễn Thị Minh Khai,20/05/1985,Female,Tây Ninh,Architect,500.0,Married
47,123456789012,Nguyễn Văn A,16/02/1985,Male,Đắk Lắk,Engineer,700.0,Married
48,987654321012,Nguyễn Thanh Hải,08/06/1985,Male,Tiền Giang,Engineer,500.0,Single
49,123456789012,Nguyễn Thị Minh Khai,15/05/1980,Female,Đắk Lắk,Teacher,20.0,Married
50,123456789012,Nguyễn Văn Hùng,21/08/1990,Male,Đồng Nai,Engineer,500.0,Married
51,123456789012,Nguyễn Thị Minh Khai,16/04/1985,Female,Phú Yên,Software Engineer,500.0,Single
52,345678912345,Nguyễn Văn Trung,20/08/1985,Male,Bến Tre,Engineer,650.0,Married
